bond_code,currency_type,tenor,issuance_name,outstanding_volume,interest_payment_method,interest_payment_type,coupon_rate,remaining_tenor,status,face_value,duration,issuance_day,issuance_month,issuance_year,maturity_day,maturity_month,maturity_year
BVBS15098,VND,5 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,7.3,7 ngày,Hủy niêm yết,100000,5.005479452,22,12,2015,22,12,2020
BVBS15105,VND,10 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,6.7,732 ngày,Bình thường,100000,10.00821918,4,3,2015,4,3,2025
BVBS15141,VND,15 Năm,Ngân hàng Chính sách Xã hội,1367000,Định kỳ - Cuối kỳ,Standard Coupon,8,2514 ngày,Bình thường,100000,15.0109589,19,1,2015,19,1,2030
BVBS15145,VND,15 Năm,Ngân hàng Chính sách Xã hội,1516000,Định kỳ - Cuối kỳ,Standard Coupon,7.6,2558 ngày,Bình thường,100000,15.0109589,4,3,2015,4,3,2030
BVBS15146,VND,15 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,7.7,2565 ngày,Bình thường,100000,15.0109589,11,3,2015,11,3,2030
BVBS15147,VND,15 Năm,Ngân hàng Chính sách Xã hội,960,Định kỳ - Cuối kỳ,Standard Coupon,7.6,2572 ngày,Bình thường,100000,15.0109589,18,3,2015,18,3,2030
BVBS15148,VND,15 Năm,Ngân hàng Chính sách Xã hội,900,Định kỳ - Cuối kỳ,Standard Coupon,7.7,2635 ngày,Bình thường,100000,15.0109589,20,5,2015,20,5,2030
BVBS15149,VND,15 Năm,Ngân hàng Chính sách Xã hội,200,Định kỳ - Cuối kỳ,Standard Coupon,7.7,2642 ngày,Bình thường,100000,15.0109589,27,5,2015,27,5,2030
BVBS15160,VND,15 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,8,2719 ngày,Bình thường,100000,15.0109589,12,8,2015,12,8,2030
BVBS15173,VND,15 Năm,Ngân hàng Chính sách Xã hội,1100000,Định kỳ - Cuối kỳ,Standard Coupon,8,2809 ngày,Bình thường,100000,15.0109589,10,11,2015,10,11,2030
BVBS15176,VND,15 Năm,Ngân hàng Chính sách Xã hội,750,Định kỳ - Cuối kỳ,Standard Coupon,8.1,2830 ngày,Bình thường,100000,15.0109589,1,12,2015,1,12,2030
BVBS15177,VND,15 Năm,Ngân hàng Chính sách Xã hội,350,Định kỳ - Cuối kỳ,Standard Coupon,8.1,2837 ngày,Bình thường,100000,15.0109589,8,12,2015,8,12,2030
